timestamp,passenger_count,trip_distance,total_amount,humidity,pressure,temperature,weather_description,wind_direction,wind_speed
1042574400,1,0.0,2.3,,,,,,
978760800,1,0.0,3.8,,,,,,
978307200,1,0.0,3.8,,,,,,
1042567200,1,0.0,2.3,,,,,,
1516453200,1,0.0,6.3,,,,,,
1042502400,1,0.0,2.3,,,,,,
1042574400,1,0.0,2.3,,,,,,
978760800,1,0.0,3.8,,,,,,
978307200,1,0.0,3.8,,,,,,
1042567200,1,0.0,2.3,,,,,,
1454950800,32735,-3337066.3800000013,317594.3399999356,88.0,1009.0,273.74,fog,40.0,3.0
1516453200,1,0.0,6.3,,,,,,
1042502400,1,0.0,2.3,,,,,,
1230757200,5,0.61,6.8,,,,,,
1510686000,32606,53850.260000000235,330192.7099999413,,,,,,
1509800400,31829,47248.07000000017,278149.539999948,,,,,,
1511528400,22418,34495.80999999998,183275.8099999863,,,,,,
1514401200,26229,41574.36999999995,256100.3599999611,,,,,,
1513206000,28219,59548.719999999805,315406.59999995003,,,,,,
1513155600,28924,43467.7399999998,288961.0399999516,,,,,,
1511254800,24902,38652.59999999996,248761.5899999664,,,,,,
1510185600,13063,26822.539999999946,134756.12000000762,,,,,,
1512352800,2807,6243.749999999992,27939.509999999438,,,,,,
1512201600,14867,26590.00000000003,132903.2500000094,,,,,,
1511708400,25656,49739.71999999995,259919.3799999611,,,,,,
1509418800,2120,5005.940000000001,22758.509999999682,,,,,,
1510048800,23660,39629.36999999976,249323.22999996602,,,,,,
1509663600,26880,55448.92000000033,285389.4799999589,,,,,,
1512712800,12825,28450.570000000014,136669.08000000595,,,,,,
1510304400,25917,42189.19000000017,264380.5499999613,,,,,,
1510462800,4312,14030.789999999995,59996.72000000157,,,,,,
1509818400,36446,53842.629999999954,319754.5199999316,,,,,,
1512086400,18872,36973.470000000016,190990.2799999868,,,,,,
1514296800,25720,42427.53999999993,227776.3799999668,,,,,,
1509494400,15804,28816.56999999996,148338.26000000286,,,,,,
1511402400,8556,17014.829999999987,81314.49000000488,,,,,,
1511546400,25210,36882.290000000095,219905.16999997172,,,,,,
1514242800,10268,20385.41999999994,95872.63000000606,,,,,,
1514361600,15155,26081.39999999996,134535.90000000884,,,,,,
1509904800,26206,48779.66000000016,264087.5299999609,,,,,,
1510902000,24393,43288.27999999975,242328.72999997032,,,,,,
1512853200,31134,46424.23000000002,269482.1099999551,,,,,,
1512270000,16510,30292.920000000096,150711.67000000196,,,,,,
1510387200,15330,26610.76999999996,137789.2100000069,,,,,,
1514386800,27513,44526.360000000284,263968.7699999533,,,,,,
1514484000,30720,44752.170000000166,291968.7999999433,,,,,,
1509703200,24706,43781.9699999999,268057.8699999601,,,,,,
1514397600,27253,41108.65999999999,274202.6599999501,,,,,,
1514127600,24311,36328.809999999976,197410.00999997678,,,,,,
1510290000,5397,16778.46000000001,76501.95000000285,,,,,,
